企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結貸借対照表,



(百万円),,
2011/03/31現在,,

(資産の部),,
流動資産,,
現金及び現金同等物,,51409
定期預金,,17191
有価証券,,20197
受取手形及び売掛金,,104501
貸倒引当金,,-625
棚卸資産,,107599
繰延税金,,7150
その他の流動資産,,9941
流動資産合計,,317363
有形固定資産－減価償却累計額控除後,,219324
無形固定資産－償却累計額控除後,,10244
投資及びその他の資産,,
関連会社に対する投資及び貸付金,,2309
その他の投資有価証券,,16333
その他の資産,,9122
投資及びその他の資産合計,,27764
長期繰延税金,,15993
資産合計,,590688
(負債及び資本の部),,
流動負債,,
短期借入金,,43344
一年以内に期限の到来する長期債務,,23907
支払手形及び買掛金,,90317
未払法人税等,,8885
繰延税金,,689
未払費用,,19530
その他の流動負債,,11124
流動負債合計,,197796
退職金及び年金債務,,17581
長期債務(一年以内期限到来分を除く),,88012
長期繰延税金,,2589
その他の固定負債,,1506
負債合計,,307484
契約残高及び偶発債務,,
当社株主資本,,
資本金,,24166
資本剰余金,,50809
利益剰余金,,
利益準備金,,7248
その他の利益剰余金,,231771
その他の包括損失累計額,,-16231
自己株式,,-16696
当社株主資本合計,,281067
非支配持分,,2137
資本合計,,283204
負債及び資本合計,,590688
