企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結貸借対照表,



(百万円),,
2010/03/31現在,,

（資産の部）,,
流動資産,,
現金及び現金同等物,,43518
定期預金,,59475
有価証券,,261
受取手形及び売掛金,,100366
貸倒引当金,,-638
棚卸資産,,100545
繰延税金,,6877
その他の流動資産,,8925
流動資産合計,,319329
有形固定資産－減価償却累計額控除後,,227081
無形固定資産－償却累計額控除後,,12224
投資及びその他の資産,,
関連会社に対する投資及び貸付金,,2352
その他の投資有価証券,,17274
その他の資産,,10324
投資及びその他の資産合計,,29950
長期繰延税金,,15617
資産合計,,604201
（負債及び資本の部）,,
流動負債,,
短期借入金,,48332
一年以内に期限の到来する長期債務,,42483
支払手形及び買掛金,,84124
未払法人税等,,6657
繰延税金,,1094
未払費用,,17311
その他の流動負債,,13459
流動負債合計,,213460
退職金及び年金債務,,16128
長期債務（一年以内期限到来分を除く）,,96770
長期繰延税金,,2465
その他の固定負債,,1416
負債合計,,330239
契約残高及び偶発債務,,
当社株主資本,,
資本金,,24166
資本剰余金,,50925
利益剰余金,,
利益準備金,,7189
その他の利益剰余金,,218482
その他の包括損失累計額,,-12067
自己株式,,-16787
当社株主資本合計,,271908
非支配持分,,2054
資本合計,,273962
負債及び資本合計,,604201
