企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結キャッシュ・フロー計算書,,



（百万円）,,,
2018/04/01-2019/03/31,,,
連結キャッシュ・フロー計算書,,,
営業活動によるキャッシュ・フロー,,,
税引前当期利益,,30267,
減価償却費及び償却費,,22865,
減損損失,,4937,
生物資産の公正価値変動額,,187,
金融収益及び金融費用,,2134,
営業債権及びその他の債権の増減,,1386,
棚卸資産の増減,,-8113,
生物資産の増減,,-2110,
その他の資産の増減,,2678,
営業債務及びその他の債務の増減,,-2222,
その他の負債の増減,,38,
その他－純額,,-6287,
利息の受取額,,719,
配当金の受取額,,1573,
利息の支払額,,-1273,
法人所得税の支払額,,-15935,
営業活動によるキャッシュ・フロー,,30844,
投資活動によるキャッシュ・フロー,,,
固定資産等の取得,,-47504,
固定資産等の売却,,978,
定期預金の増減,,2836,
その他の金融資産の取得,,-1077,
その他の金融資産の売却及び償還,,527,
関連会社に対する投資,,-38,
事業の取得に伴う現金及び現金同等物の純増減,,-,
事業の売却に伴う現金及び現金同等物の純増減,,-,
その他－純額,,-832,
投資活動によるキャッシュ・フロー,,-45110,
財務活動によるキャッシュ・フロー,,,
現金配当,,-11403,
短期借入金の増減,,9026,
借入債務による調達,,40970,
借入債務の返済,,-16060,
非支配持分からの出資,,406,
自己株式の取得,,-20007,
その他－純額,,0,
財務活動によるキャッシュ・フロー,,2932,
為替変動による現金及び現金同等物への影響額,,1152,
現金及び現金同等物の増減額,,-10182,
期首現金及び現金同等物残高,,58290,
期末現金及び現金同等物残高,,48108,
