企業名,プリマハム,
証券ｺｰﾄﾞ,2281,
表名称,連結キャッシュ・フロー計算書,



(百万円),,
2007/04/01-2008/03/31,,

営業活動によるキャッシュ・フロー,,
税金等調整前当期純利益,,3470
減価償却費,,3747
減損損失,,425
負ののれんの償却額,,-
投資有価証券評価損,,76
貸倒引当金の増減額（減少：－）,,-34
賞与引当金の増減額（減少：－）,,-34
退職給付引当金の増減額（減少：－）,,-62
役員退職慰労引当金の増減額（減少：－）,,22
受取利息及び受取配当金,,-82
支払利息,,536
投資有価証券等売却損益（益：－）,,3
持分法による投資損益（益：－）,,-80
有形固定資産売却損益（益：－）,,-173
固定資産除却損,,121
売上債権の増減額（増加：－）,,3650
その他流動資産の増減額（増加：－）,,-459
たな卸資産の増減額（増加：－）,,-1321
仕入債務の増減額（減少：－）,,-2830
その他流動負債の増減額（減少：－）,,-762
未払消費税等の増減額（減少：－）,,-196
役員賞与の支払額,,-
その他,,-1
小計,,6013
利息及び配当金の受取額,,98
利息の支払額,,-519
法人税等の支払額,,-1147
営業活動によるキャッシュ・フロー,,4444
投資活動によるキャッシュ・フロー,,
有形固定資産の取得による支出,,-4419
有形固定資産の売却による収入,,595
無形固定資産の取得による支出,,-194
投資有価証券の取得による支出,,-11
投資有価証券等の売却による収入,,3
子会社株式の取得による支出,,-
連結範囲の変更を伴う子会社株式の取得による収入,,-
連結範囲の変更を伴う関連会社出資金の売却による収入,,62
貸付による支出,,-289
貸付金の回収による収入,,150
敷金の差入による支出,,-29
敷金の償還による収入,,61
長期預金の増減額（増加：－）,,106
長期前払費用の増減額（増加：－）,,-68
その他,,80
投資活動によるキャッシュ・フロー,,-3951
財務活動によるキャッシュ・フロー,,
短期借入金純増減額（減少：－）,,-239
長期借入れによる収入,,4749
長期借入金の返済による支出,,-7577
社債の発行による収入,,-
割賦未払金の増加額,,55
割賦未払金の返済による支出,,-221
種類株式優先配当金による支出,,-69
種類株式の取得による支出,,-652
少数株主への配当金の支払額,,-54
自己株式の取得による支出,,-5
財務活動によるキャッシュ・フロー,,-4014
現金及び現金同等物に係る換算差額,,207
現金及び現金同等物の増減額（減少：－）,,-3313
現金及び現金同等物の期首残高,,11481
連結除外に伴う減少額,,-
現金及び現金同等物の期末残高,,8167
