企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結キャッシュ・フロー計算書,



(百万円),,
2008/04/01-2009/03/31,,

営業活動によるキャッシュ・フロー：,,
当期純利益,,1657
調整項目：,,
減価償却費,,24646
固定資産減損損失,,2730
繰延税金,,2176
為替換算差額,,5300
受取手形及び売掛金の減,,5705
棚卸資産の（－増）減,,-8149
その他の流動資産の減,,3691
支払手形及び買掛金の減,,-310
未払法人税等の増（－減）,,362
未払費用及びその他の流動負債の増,,200
その他－純額,,-232
営業活動による純キャッシュ増,,37776
投資活動によるキャッシュ・フロー：,,
固定資産の取得,,-16877
固定資産の売却,,2886
定期預金の（－増）減,,9383
有価証券及びその他の投資有価証券の取得,,-10283
有価証券及びその他の投資有価証券の売却,,350
保証金及びその他の投資の（－増）減,,-142
その他－純額,,-714
投資活動による純キャッシュ減,,-15397
財務活動によるキャッシュ・フロー：,,
現金配当,,-3663
短期借入金の減,,-1694
長期債務の借入,,40
長期債務の返済,,-19395
その他－純額,,-49
財務活動による純キャッシュ増（－減）,,-24761
為替変動による現金及び現金同等物への影響額,,-544
純キャッシュ増（－減）,,-2926
期首現金及び現金同等物残高,,44249
期末現金及び現金同等物残高,,41323
