企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結貸借対照表,



(百万円),,
2009/03/31現在,,

（資産の部）,,
流動資産,,
現金及び現金同等物,,41323
定期預金,,4923
有価証券,,10051
受取手形及び売掛金,,102791
貸倒引当金,,-674
棚卸資産,,115765
繰延税金,,6410
その他の流動資産,,10380
流動資産合計,,290969
投資及び長期債権,,
関連会社に対する投資及び貸付金,,2168
その他の投資有価証券,,15811
保証金及びその他の投資,,10376
投資及び長期債権合計,,28355
有形固定資産－減価償却累計額控除後,,232862
長期繰延税金,,18779
その他の資産,,12719
資産合計,,583684
（負債及び資本の部）,,
流動負債,,
短期借入金,,56455
一年以内に期限の到来する長期債務,,7119
支払手形及び買掛金,,85377
未払法人税等,,2274
繰延税金,,646
未払費用,,15512
その他の流動負債,,10737
流動負債合計,,178120
退職金及び年金債務,,23259
長期債務（一年以内期限到来分を除く）及びその他の固定負債,,107437
長期繰延税金,,2492
少数株主持分,,1937
契約残高及び偶発債務,,
資本,,
資本金,,24166
資本剰余金,,50963
利益剰余金,,
利益準備金,,7013
その他の利益剰余金,,206588
その他の包括損失累計額,,-17950
自己株式,,-341
資本合計,,270439
負債及び資本合計,,583684
