企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結損益（及び包括利益）計算書,,



（百万円）,,,
2012/04/01-2013/03/31,,,
連結損益（及び包括利益）計算書,,,
売上高,,1022839,
売上原価,,827058,
販売費及び一般管理費,,167760,
その他の営業費用及び(△収益)一純額,,131,
プロ野球選手移籍金,,－,
支払利息,,1582,
その他の収益及び(△費用)一純額,,1723,
税金等調整前当期純利益,,28031,
法人税等,,,
当期税金,,14275,
繰延税金,,-2916,
法人税等合計,,11359,
持分法による投資損益前当期純利益,,16672,
持分法による投資損益(法人税等控除後),,38,
当期純利益,,16710,
非支配持分に帰属する当期純損益,,-251,
当社株主に帰属する当期純利益,,16459,
（円）,,,
１株当たり金額,,,
基本的１株当たり当社株主に帰属する当期純利益,,79.42,
希薄化後１株当たり当社株主に帰属する当期純利益,,71.44,
（百万円）,,,
当期純利益,,16710,
その他の包括損益(法人税等控除後),,,
売却可能有価証券未実現評価損益,,1668,
デリバティブ未実現評価損益,,－,
年金債務調整勘定,,1604,
外貨換算調整勘定,,3598,
その他の包括損益合計,,6870,
当期包括損益,,23580,
非支配持分に帰属する当期包括損益,,-368,
当社株主に帰属する当期包括損益,,23212,
