企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結損益（及び包括利益）計算書,,



（百万円）,,,
2013/04/01-2014/03/31,,,
連結損益（及び包括利益）計算書,,,
売上高,,1122097,
売上原価,,918304,
販売費及び一般管理費,,168093,
その他の営業費用及び(△収益)－純額,,686,
支払利息,,1502,
その他の収益及び(△費用)－純額,,1791,
税金等調整前当期純利益,,35303,
法人税等,,,
当期税金,,9944,
繰延税金,,1094,
法人税等合計,,11038,
持分法による投資利益前当期純利益,,24265,
持分法による投資利益(法人税等控除後),,439,
当期純利益,,24704,
非支配持分に帰属する当期純利益,,-180,
当社株主に帰属する当期純利益,,24524,
（円）,,,
１株当たり金額,,,
基本的１株当たり当社株主に帰属する当期純利益,,122.11,
希薄化後１株当たり当社株主に帰属する当期純利益,,110.92,
（百万円）,,,
当期純利益,,24704,
その他の包括利益(法人税等控除後),,,
売却可能有価証券未実現評価益,,486,
年金債務調整勘定,,3006,
外貨換算調整勘定,,4437,
その他の包括利益合計,,7929,
当期包括利益,,32633,
非支配持分に帰属する当期包括利益,,-400,
当社株主に帰属する当期包括利益,,32233,
